,rating,title,content,useful_count
0,4,美味しい,とても美味しい,0
1,4,手頃な値段,ちょっとしたお土産に最適でした,0
2,5,美味しい‼️,お土産で頂いてあまりに美味しかったので購入しました。やっぱり美味しい‼️,0
3,5,自宅用に,以前より気になっていたので購入しました。食べてみた感想ですが率直に美味しいと思います。自分が知る限りの味で説明するなら『ゴーフル』の分厚いバージョンでしょうか。外側のせんべい生地はサクサクと香ばしく、内側のシュガークリームはミルキーでコクがある。和スイーツと謳いつつ、しかし洋のテイストも感じさせる……そんな仕上がりとなっています。こんなにも美味しいのですから自分へのご褒美はモチロン、職場や親戚の挨拶回りなどでも活躍することは間違いないかと思います。在庫状況などで前後しそうではありますが、賞味期限の方も長持ちする部類ですので心配ありません。最後にひとつ気になる点を挙げるとするならせんべい生地の堅さ。顎や歯の弱い方、とりわけご年配の方への贈答の際には多少の配慮は必要かもしれません。,1
4,4,上手い！,想像していたよりも堅かったですが美味しいです！,0
5,5,美味,伝統の味がしっかりうけつがれ、お祝いの包装紙がとてもよく満足できる商品でした。迅速なはいたつで良かったです。,0
6,5,御進物にとても重宝,地方に住んでいますので、御進物にとても重宝しています。,0
7,5,めっちゃ美味しい!,めっちゃ美味しいので、◎ですね～,0
8,5,良いです,退職最終出社日時に配りました。良かったです,1
9,2,相手の気持ち考えて欲しかった,手提げ袋を、入れて欲しかったです。,0
10,4,贈り物にしました。,お彼岸用に購入。以前に頂いて美味しかったので。,1
11,5,安心出来るお味のお菓子です,似たようなお菓子がある中、湖月の千寿せんべいは安定して好きです。,1
12,4,期待どおり 美味しいお菓子で喜ばれた,退職の挨拶用に購入地元にも同様の更にシンプルなお菓子がありますがそれに近いもので食べごたえ有りました。ちょっと甘すぎな感じがありましたが配布用にちょうどよかったです。,1
13,5,迅速な対応,急な長い休暇でお礼の品を買いに行くことができなかったので、迅速に対応していただいた事、皆んなに満足していただける味で喜ばれました。,0
14,4,手土産として,実家と久しぶりに会う親戚宅の手土産として購入。子供も巣立った両家なので1箱ずつ渡しました。子供の頃、親にねだって買ってもらった記憶のある商品。親も私も久々に食べました。美味しかったです。,1
15,5,美味しい,親戚に送りました。二人共に美味しいと言ってました。お気に入りです。,0
16,5,懐かしい味,昔食べていたのではないかと思って購入！これでしたね。美味しいです。またリピートしたいです。,0
17,3,手頃,問題なし,0
18,4,安定した味です,甘すぎずに安定した味です、年齢をある程度いかれた方にも喜んで頂けました。日保ちもしますので贈り物として非常に良いと思います。,0
19,5,お土産に,お土産として購入したため、美味しさについては分かりませんが、とても喜んでもらうことができました。,0
20,5,美味しかったです,クッキー大好き❤ほんとに好きです,0
21,5,母の大好物です,私の89才の母が、このお菓子だけは食べたいって言います。ありがとうございます😊,2
22,5,皆んなが大好き,長期休暇のお礼とお詫びに職場に持って行きました。「コレ美味しいよね」と皆んなに喜んでもらえました,1
23,5,父が亡くなったから仏壇にあげる為購入した。,この煎餅はとても美味しいですので購入しました。,0
24,4,おいしい,お値段高めですが間違いなくおいしいです。,1
25,5,贈り物に喜ばれやすいです。,昔から味や食感が好きです。贈り物に喜ばれやすいです。通販で購入できて助かります。,0
26,5,やっぱり美味しい,他のメーカーのものも食べてみましたが、やはりここですね！,0
27,5,感謝です、,親戚の法事をうっかり忘れてしまっていた母からこの世の終わりのような悲痛電話…こんな事も忘れるなんて泣。よっぽどなんだと…翌日配達の商品をちゃんと法事の包装で届けていただきました。ありがとうございました。ただ、仏事包装をお願いするのにかなり手こずり、ギフトはあるが祝い事のみ。もう少しわかりやすくあると嬉しいです。私が気づいていなかっただけなら失礼しました。。,0
28,5,安定のおいしさ！,昔実家で食べて以来ずっと食べたくて購入安定のおいしさでした。,0
29,5,大好きです,こちらの商品に似たものが好きで、時々食べたくなるのですが、調べたところ、こちらが有名だということが書いてあったので、味の違いがあるのかなーと購入してみました。食べ比べしたわけではないのでわかりませんが、とても美味しかったです。義理の両親にも喜ばれました。波々のクッキーのような生地にクリームがサンドされていて本当に美味しいです。また購入したいと思っています。,2
30,4,贈り物に最適,贈り物に最適でした,0
31,4,せんべいではないが,せんべいと言うより洋菓子。側は卵白で焼いたクッキーの様な食感と風味。クリームはシッカリしていてコクと甘さがマッチしている。お茶よりコーヒーや紅茶に合うと思う。,0
32,4,クリーム感がいまいち,商品のイメージ画像からもう少しクリーム感があるのかと思いましたがクリームは固形で、食感は名前の通りほぼ「せんべい」でした。味はバターサブレに近く、美味しいとは思いますが、取り立てて取り上げる程、この製品ならではの美味しさというものはありませんでした。,5
33,4,美味しいです,少し甘いかな〜,0
34,4,賞味期限が短かすぎる。,購入してから賞味期限が半月後では年末年始使えない。,2
35,5,お客様様にこう,年末だったので、百貨店の店舗でも、売り切れていたりした時期に、滞りなく購入できたので良かったです。お客様が来られる予定があったので、お土産に購入。持ち帰り用の紙袋もあり、賞味期限もお店て購入するのと変わりなく長くあり、申し分ないです。子ども好きだし、また購入したいです。万人が好きな味だと思います。,2
36,4,紐は二箱まとめ掛けでした,たまたま見かけて、久々に食べたくなりました。割れも無く、賞味期限も充分1ヶ月あり、「あー、これこれ」とあの美味しさで満足です。せんべいという名ですが、クッキーですよね。途中ボロッといってしまってちょっと食べにくい(自分が下手？コツがあるのかも笑)ことぐらいで、それも楽しく頂いてます。段ボールに直接入って、紙のクッションが脇と下と上の3箇所に詰められていました。説明には無いようですが、二箱まとめて赤い紐掛けなので、そこに重きを置かれる方はご留意を。,3
37,5,本当に美味しい,子供の頃から食べてますが本当に美味しいです。梱包もしっかりとされていて割れもなく届きました。またリピートします。,2
38,5,家族で鼓月の千寿せんべいファン,初めて食べたのは20年くらい前かな？とても美味しくて大好きなお菓子になりました。似たようなかたちの他社さんのものも食べたことあるけど全然違います。何年たっても変わらぬおいしさで家族みんな大好きです。,2
39,5,美味しいです,美味しくて大好きです,0
40,5,まーーーーじでうまい。,うまい。まじで。,0
41,4,一箱づつ、えんじ色の紐がくくって有れば、もっと良かった。,4人の方にあげるのに、2箱入りを2個注文したのですが、紐が2個づつでくくってあったので、結果暇はとるしかなありませんでした。包装はきちんとされていたのですが、暇も一個づつくくってあれば、もっと良かったです。,3
